"","logFC","logCPM","LR","PValue","FDR"
"g12945",-5.95422458602982,6.69244557492249,883.682118023174,3.46073339405667e-194,5.95592217117152e-191
"g13180",2.39937053894459,6.20884023285061,310.955639637314,1.35221592714895e-69,1.16358180531167e-66
"g4550",-1.93229169442685,6.47211267973446,185.052102563279,3.82316956593065e-42,2.19322494098888e-39
"g16086",-3.07945086329886,6.21620956852235,164.890101796365,9.66756384221114e-38,4.15946934311134e-35
"g14478",2.38001803886587,6.54450654254887,156.272347298174,7.38165884804322e-36,2.54076697549648e-33
"g6024",-1.53320298318873,6.3802716593555,140.769322979771,1.80710657969669e-32,5.18338403943002e-30
"g6278",-1.79634134883381,7.60693929305454,119.340277033603,8.82203505893428e-28,2.16896033377513e-25
"g14948",-1.59824793154604,7.43272037586905,112.969949283683,2.19070065344422e-26,4.71274478072188e-24
"g5002",1.54259691554565,6.18588656694735,107.389433228341,3.65751513461567e-25,6.99398171852619e-23
"g13186",-1.62859820448775,7.73982215226058,93.5583392533988,3.94402412553691e-22,6.78766552004902e-20
"g19259",2.05078143442204,5.87144113524354,89.6621064401071,2.82514695607892e-21,4.42007082855621e-19
"g16309",-3.10994242380989,6.82691328859481,86.6898474284638,1.26946832903662e-20,1.82062916189336e-18
"g15475",-2.94358613575759,6.73206976246544,83.4702528450681,6.46820000817589e-20,8.56290170313131e-18
"g19301",-1.71681860469719,8.74303300394957,77.1136283301054,1.61399749671233e-18,1.98406406560137e-16
"g1170",1.65647109511761,8.1943050334603,73.4885673468686,1.012207515989e-17,1.16133942334472e-15
"g6824",-1.04558660109841,6.19832828209682,69.0961339135487,9.37790104785832e-17,1.00871048146026e-14
"g14946",-1.68850377068704,9.2227811563604,67.2340792614623,2.41110040639287e-16,2.4408845878836e-14
"g6983",1.42660700852512,5.65230164708295,61.9603469031734,3.50443568821577e-15,3.35062989967741e-13
"g5962",-1.12239803000452,6.60327775712611,61.2249587317874,5.09120058658753e-15,4.61155589974586e-13
"g11960",-1.04346723479501,6.65187501963873,60.1614418923764,8.73874226183326e-15,7.51968771630752e-13
"g20989",-0.892791690872941,6.19527749123229,54.1156034731945,1.89034161731018e-13,1.54917996351944e-11
"g15474",-1.7338024218587,7.08702797958412,53.0432397740982,3.26286014267529e-13,2.55244650252008e-11
"g18721",-1.28796897199717,5.96078175278463,51.9723120475877,5.62887874073542e-13,4.21186970121985e-11
"g145",-1.33641762624253,6.25801067401179,51.5557880985697,6.95912187062696e-13,4.99027030806208e-11
"g13575",1.54503654199698,6.4911946022023,51.1238933223233,8.67163273661079e-13,5.96955197588287e-11
"g18722",-1.39258631296531,6.82312838114624,50.6312436816016,1.11456529255355e-12,7.37756487878713e-11
"g17812",-1.64855590987256,9.44581760445769,50.0873853772176,1.47049287375031e-12,9.37303050268252e-11
"g19303",-1.03183123734326,6.60910774793731,47.287719771658,6.12950275844877e-12,3.76745508831797e-10
"g3916",-2.87333788501145,7.98703413181994,46.9378011976244,7.32756633056541e-12,4.34853160513899e-10
"g13096",-1.16296097189718,8.92086707460147,44.6657421841115,2.33710933347882e-11,1.34072172097235e-09
"g14443",-1.09127704485682,5.71293395771625,39.6701922893517,3.00679790252098e-10,1.66925780330278e-08
"g6742",-1.02338101100584,5.94235616460211,38.4352464041811,5.66008595982081e-10,3.04406498026613e-08
"g20990",-0.744697977938344,6.1850324184103,37.5098883632983,9.09507142697889e-10,4.74321755328202e-08
"g11004",-1.28651279799792,5.84291534334597,37.0871994248489,1.12962847356684e-09,5.71791353826038e-08
"g8694",0.952409362271157,6.99132479793246,35.6785447869958,2.32712891674418e-09,1.14428253306192e-07
"g19385",-0.960777410908378,6.1716122586792,34.0195760852215,5.45603710367845e-09,2.60828884873073e-07
"g14828",-1.11275700393148,6.86891625775961,31.9132661591253,1.61212368850771e-08,7.49855369708586e-07
"g8593",-0.9113172026395,7.02190610208267,31.6679943988953,1.82911904090059e-08,8.28186401956849e-07
"g15525",-0.889638658060224,5.93330556644739,31.6180468886172,1.87677336875753e-08,8.28186401956849e-07
"g20906",-1.2410955475625,5.9673010443973,30.8663547791569,2.76422735467853e-08,1.18930881935044e-06
"g6618",0.820091275376856,6.82562759061087,29.8206090572476,4.739271909705e-08,1.98933828209812e-06
"g263",-1.77413091550868,5.88795937950598,29.6649450372736,5.13551612252243e-08,2.10433886830026e-06
"g6375",-0.993469046732028,7.24199547521416,29.1292624439807,6.77065809601237e-08,2.70983781005518e-06
"g5233",-1.31831185932064,5.64070826597526,28.7003186176687,8.44898300383117e-08,3.30470448854397e-06
"g5886",-0.775684363238244,6.56864471645767,28.4693129527428,9.51954118523643e-08,3.64069563995376e-06
"g1395",-0.656578586638942,6.72332891557858,28.198602421293,1.09483593843062e-07,4.09611445660673e-06
"g14256",-2.87388670961821,5.30225568442681,28.1310967037641,1.13369566035826e-07,4.15125581165226e-06
"g1444",0.562577247142073,6.38624587901749,26.8371189700413,2.21344754122186e-07,7.93613170508921e-06
"g15878",-1.76707594678354,5.40849521213879,25.8346396583559,3.71952903094763e-07,1.30638968617569e-05
"g5844",0.765330114034068,7.39022994940793,25.4261466033227,4.59645896705962e-07,1.58210117646192e-05
"g10049",-0.60753526412678,6.69383451563815,25.2590817252398,5.01230023366267e-07,1.69140562786931e-05
"g1505",0.605695388388061,6.59106829885844,24.6546072632665,6.85806022567758e-07,2.26975416315214e-05
"g3305",-0.866445085236291,8.09415191070623,23.636899017591,1.16335223959502e-06,3.77760227234534e-05
"g18447",-0.704130277456086,6.84478264738582,23.4219222648257,1.30087588965407e-06,4.14593964091604e-05
"g384",0.555249942239228,6.90240846432569,23.1319341515188,1.51257636611146e-06,4.67558847473373e-05
"g11549",-0.723661254430538,7.96216469338021,23.1207496720168,1.52140008474776e-06,4.67558847473373e-05
"g15625",1.10777700099127,5.74432406532396,22.9509015597154,1.6619224626829e-06,5.01287715857403e-05
"g11982",-0.97087111994471,5.857918203639,22.9193718918772,1.6894065961493e-06,5.01287715857403e-05
"g9843",-1.21028836027731,5.52531878376366,22.7937977638129,1.8034678706714e-06,5.22587658658931e-05
"g17956",-1.75866912080162,5.41261947965223,22.7742337417886,1.82192094825891e-06,5.22587658658931e-05
"g5977",0.763000585910432,6.3763417424366,22.5069951617337,2.09379741094412e-06,5.90725466268006e-05
"g14325",-0.745207315014646,6.51463909872212,22.1867227733534,2.47378620559446e-06,6.86675170940011e-05
"g2904",-2.01343941139873,5.38106722299755,21.8562367229144,2.93859922659687e-06,8.02750677614795e-05
"g287",0.558826255033519,6.58952595208289,21.145980343791,4.2559299248499e-06,0.000114444615635417
"g5939",-0.721011807325675,6.77680608317161,21.003813978115,4.58369988410868e-06,0.000121362269239247
"g16034",-0.76917741712319,6.13977593755773,20.8385455873304,4.99671555132319e-06,0.000130293143391321
"g5446",0.770078904298169,5.69808912735975,20.6863193042908,5.41011636317671e-06,0.000138967317328763
"g12992",-0.978179769992062,5.91626295396876,20.2711215323759,6.72073795365501e-06,0.000170093970856475
"g11892",-0.826927859453623,6.56710482182876,19.2666620926743,1.13673967908963e-05,0.000283525940248298
"g11145",0.571748286893178,6.08513758025962,19.0181660544096,1.29479880056803e-05,0.000318335533682511
"g11744",-0.68741302240714,5.80289381816306,18.4370946657323,1.75606035037625e-05,0.000425659135633455
"g8280",-0.61336615415989,6.13766156687267,18.3107178599726,1.87648472417543e-05,0.000447629585791053
"g1652",0.542884571423838,6.72336220340329,18.2882779045362,1.8987193354298e-05,0.000447629585791053
