"rn"	"PValue"	"FDR"
"g12945"	3.46073339405667e-194	5.95592217117152e-191
"g13180"	1.35221592714895e-69	1.16358180531167e-66
"g4550"	3.82316956593065e-42	2.19322494098888e-39
"g16086"	9.66756384221114e-38	4.15946934311134e-35
"g14478"	7.38165884804322e-36	2.54076697549648e-33
"g6024"	1.80710657969669e-32	5.18338403943002e-30
"g6278"	8.82203505893428e-28	2.16896033377513e-25
"g14948"	2.19070065344422e-26	4.71274478072188e-24
"g5002"	3.65751513461567e-25	6.99398171852619e-23
"g13186"	3.94402412553691e-22	6.78766552004902e-20
"g19259"	2.82514695607892e-21	4.42007082855621e-19
"g16309"	1.26946832903662e-20	1.82062916189336e-18
"g15475"	6.46820000817589e-20	8.56290170313131e-18
"g19301"	1.61399749671233e-18	1.98406406560137e-16
"g1170"	1.012207515989e-17	1.16133942334472e-15
"g6824"	9.37790104785832e-17	1.00871048146026e-14
"g14946"	2.41110040639287e-16	2.4408845878836e-14
"g6983"	3.50443568821577e-15	3.35062989967741e-13
"g5962"	5.09120058658753e-15	4.61155589974586e-13
"g11960"	8.73874226183326e-15	7.51968771630752e-13
"g20989"	1.89034161731018e-13	1.54917996351944e-11
"g15474"	3.26286014267529e-13	2.55244650252008e-11
"g18721"	5.62887874073542e-13	4.21186970121985e-11
"g145"	6.95912187062696e-13	4.99027030806208e-11
"g13575"	8.67163273661079e-13	5.96955197588287e-11
"g18722"	1.11456529255355e-12	7.37756487878713e-11
"g17812"	1.47049287375031e-12	9.37303050268252e-11
"g19303"	6.12950275844877e-12	3.76745508831797e-10
"g3916"	7.32756633056541e-12	4.34853160513899e-10
"g13096"	2.33710933347882e-11	1.34072172097235e-09
"g14443"	3.00679790252098e-10	1.66925780330278e-08
"g6742"	5.66008595982081e-10	3.04406498026613e-08
"g20990"	9.09507142697889e-10	4.74321755328202e-08
"g11004"	1.12962847356684e-09	5.71791353826038e-08
"g8694"	2.32712891674418e-09	1.14428253306192e-07
"g19385"	5.45603710367845e-09	2.60828884873073e-07
"g14828"	1.61212368850771e-08	7.49855369708586e-07
"g8593"	1.82911904090059e-08	8.28186401956849e-07
"g15525"	1.87677336875753e-08	8.28186401956849e-07
"g20906"	2.76422735467853e-08	1.18930881935044e-06
"g6618"	4.739271909705e-08	1.98933828209812e-06
"g263"	5.13551612252243e-08	2.10433886830026e-06
"g6375"	6.77065809601237e-08	2.70983781005518e-06
"g5233"	8.44898300383117e-08	3.30470448854397e-06
"g5886"	9.51954118523643e-08	3.64069563995376e-06
"g1395"	1.09483593843062e-07	4.09611445660673e-06
"g14256"	1.13369566035826e-07	4.15125581165226e-06
"g1444"	2.21344754122186e-07	7.93613170508921e-06
"g15878"	3.71952903094763e-07	1.30638968617569e-05
"g5844"	4.59645896705962e-07	1.58210117646192e-05
"g10049"	5.01230023366267e-07	1.69140562786931e-05
"g1505"	6.85806022567758e-07	2.26975416315214e-05
"g3305"	1.16335223959502e-06	3.77760227234534e-05
"g18447"	1.30087588965407e-06	4.14593964091604e-05
"g384"	1.51257636611146e-06	4.67558847473373e-05
"g11549"	1.52140008474776e-06	4.67558847473373e-05
"g15625"	1.6619224626829e-06	5.01287715857403e-05
"g11982"	1.6894065961493e-06	5.01287715857403e-05
"g9843"	1.8034678706714e-06	5.22587658658931e-05
"g17956"	1.82192094825891e-06	5.22587658658931e-05
"g5977"	2.09379741094412e-06	5.90725466268006e-05
"g14325"	2.47378620559446e-06	6.86675170940011e-05
"g2904"	2.93859922659687e-06	8.02750677614795e-05
"g287"	4.2559299248499e-06	0.000114444615635417
"g5939"	4.58369988410868e-06	0.000121362269239247
"g16034"	4.99671555132319e-06	0.000130293143391321
"g5446"	5.41011636317671e-06	0.000138967317328763
"g12992"	6.72073795365501e-06	0.000170093970856475
"g11892"	1.13673967908963e-05	0.000283525940248298
"g11145"	1.29479880056803e-05	0.000318335533682511
"g11744"	1.75606035037625e-05	0.000425659135633455
"g8280"	1.87648472417543e-05	0.000447629585791053
"g1652"	1.8987193354298e-05	0.000447629585791053
"g8536"	2.09008349542251e-05	0.000486085634543532
"g288"	2.17112092887788e-05	0.000498199882479845
"g332"	2.46620314144199e-05	0.000558465211371271
"g7027"	3.14623758379516e-05	0.0007032045300924
"g21039"	3.24146403169936e-05	0.00071519994853264
"g7242"	3.42961896252042e-05	0.000747135979050335
"g7734"	3.81047139812709e-05	0.00081972765952209
"g9122"	4.04986345623241e-05	0.000860470988663702
"g18943"	4.67391490142299e-05	0.000973917867947396
"g5095"	4.69698913652724e-05	0.000973917867947396
"g7165"	5.34472226240546e-05	0.00109337270538173
"g16839"	5.40015572094403e-05	0.00109337270538173
"g11975"	5.56916331883156e-05	0.00111448024089641
"g9959"	6.30987302922885e-05	0.00124819442336814
"g20081"	6.86183737627182e-05	0.00134195705960952
"g16508"	7.61462792983924e-05	0.00147244659182622
"g12916"	0.000101004577951135	0.00193143198504337
"g2365"	0.000103988650945505	0.00196664250854081
"g12983"	0.00011048092378596	0.00206671380256126
"g16209"	0.000124147052146576	0.00224363228057736
"g8754"	0.000124996287587958	0.00224363228057736
"g16564"	0.000125078473818075	0.00224363228057736
"g15398"	0.000125153224250684	0.00224363228057736
"g11790"	0.000140800511602368	0.00247530704614015
"g5100"	0.000140952986938835	0.00247530704614015
"g8873"	0.000158576532560928	0.00275666881350865
"g6777"	0.000163889838269371	0.00282054411661587
"g19457"	0.000190041014711298	0.00323822362691232
"g9494"	0.000192236407082788	0.00324351820185762
"g6400"	0.000197093029365782	0.00329317576250982
"g17080"	0.000200542507812048	0.00331859284562053
"g5693"	0.000233382768349926	0.00376969881275656
"g16424"	0.000236025257349442	0.00376969881275656
"g20673"	0.000236094972673814	0.00376969881275656
"g4938"	0.000236564480986466	0.00376969881275656
"g2982"	0.000273221261493915	0.00431388799111034
"g5456"	0.000301728065742887	0.00472067273766827
"g7736"	0.000307080025301507	0.00476112363553057
"g18707"	0.000324323172890965	0.00498357304058349
"g6297"	0.000342377621045386	0.00521444146742575
"g11678"	0.000349079062048544	0.00526986899811881
"g5759"	0.000360052011492351	0.00538825662415944
"g20056"	0.000369433936946386	0.00548099832314422
"g20877"	0.000375497039029955	0.0055233367877825
"g1680"	0.000392781396693353	0.00572861681109543
"g8103"	0.000405838032143963	0.00586930464974589
"g1378"	0.000429685164965008	0.00616240140753983
"g19019"	0.00045434874075406	0.0064622659738656
"g4365"	0.000486927799588251	0.00686887494337197
"g5907"	0.000608245261474477	0.00851048857721606
"g10482"	0.000618659747995156	0.00858639859919083
"g7762"	0.000654079896667872	0.00900537201732326
"g9962"	0.000688196693043168	0.00927482608065524
"g3815"	0.000693758199376294	0.00927482608065524
"g5901"	0.000694934749805122	0.00927482608065524
"g8109"	0.000695207765487813	0.00927482608065524
"g7814"	0.000779758724231032	0.0103228058800124
"g7671"	0.000841201906919065	0.0110512097847917
"g18761"	0.000847795934904379	0.0110534606361397
"g2699"	0.000859825637512128	0.0111260144523186
"g5647"	0.000890185655809265	0.0114329068182668
"g3138"	0.000966670863965415	0.0123232633843295
"g15894"	0.000975736979368915	0.0123473775109846
"g4178"	0.00101635875237193	0.0127142849779631
"g16438"	0.00101950687214347	0.0127142849779631
"g16024"	0.00102889963393234	0.0127269038914435
"g5683"	0.00103530885810697	0.0127269038914435
"g1226"	0.00118791566879341	0.0144993111063366
"g7801"	0.00123953815713233	0.0150228532987658
"g4457"	0.00132825919467512	0.0159855529652859
