"Chromosome","Gene","E.coli_85","E.coli_86","B.subtillis_94","B.subtillis_95"
"chrIII_pilon","g6684",0,0,0,0
"chrIII_pilon","g6685",10,5,7,6
"chrIII_pilon","g6686",0,0,2,0
"chrIII_pilon","g6687",27,14,20,26
"chrIII_pilon","g6688",8,8,4,5
"chrIII_pilon","g6689",1,29,0,58
"chrIII_pilon","g6690",19,19,18,26
"chrIII_pilon","g6691",0,0,0,2
"chrIII_pilon","g6692",1,17,3,3
"chrIII_pilon","g6693",0,0,0,0
"chrIII_pilon","g6694",5,2,6,6
"chrIII_pilon","g6695",0,0,0,0
"chrIII_pilon","g6696",0,1,0,0
"chrIII_pilon","g6697",797,684,392,852
"chrIII_pilon","g6698",162,142,114,121
"chrIII_pilon","g6699",204,195,169,216
"chrIII_pilon","g6700",28,27,5,6
"chrIII_pilon","g6701",90,127,74,95
"chrIII_pilon","g6702",84,71,65,97
"chrIII_pilon","g6703",0,0,0,0
"chrIII_pilon","g6704",1,1,1,2
"chrIII_pilon","g6705",2,0,0,0
"chrIII_pilon","g6706",0,0,0,0
"chrIII_pilon","g6707",5,10,15,31
"chrIII_pilon","g6708",11,25,32,37
"chrIII_pilon","g6709",0,0,0,1
"chrIII_pilon","g6710",1,4,5,4
"chrIII_pilon","g6711",10,9,7,12
"chrIII_pilon","g6712",9,7,5,8
"chrIII_pilon","g6713",15,7,10,9
"chrIII_pilon","g6714",16,13,5,9
"chrIII_pilon","g6715",23,19,13,14
"chrIII_pilon","g6716",44,26,20,26
"chrIII_pilon","g6717",0,0,1,0
"chrIII_pilon","g6718",1,0,0,2
"chrIII_pilon","g6719",0,0,0,0
"chrIII_pilon","g6720",0,0,0,0
"chrIII_pilon","g6721",9,6,5,5
"chrIII_pilon","g6722",10,4,4,5
"chrIII_pilon","g6723",6,3,2,4
"chrIII_pilon","g6724",0,0,1,1
"chrIII_pilon","g6725",0,0,2,0
"chrIII_pilon","g6726",1,3,3,2
"chrIII_pilon","g6727",6,4,7,15
"chrIII_pilon","g6728",6,2,4,9
"chrIII_pilon","g6729",13,13,13,12
"chrIII_pilon","g6730",6,1,9,1
"chrIII_pilon","g6731",116,160,102,119
"chrIII_pilon","g6732",514,606,267,326
"chrIII_pilon","g6733",111,114,97,124
"chrIII_pilon","g6734",1,2,3,9
"chrIII_pilon","g6735",48,39,38,65
"chrIII_pilon","g6736",3,4,1,5
"chrIII_pilon","g6737",434,464,297,360
"chrIII_pilon","g6738",271,302,188,212
"chrIII_pilon","g6739",209,229,152,194
"chrIII_pilon","g6740",136,159,81,67
"chrIII_pilon","g6741",0,1,0,0
"chrIII_pilon","g6742",403,323,559,490
"chrIII_pilon","g6743",81,77,80,115
"chrIII_pilon","g6744",42,51,26,36
"chrIII_pilon","g6745",206,226,146,192
"chrIII_pilon","g6746",655,610,473,703
"chrIII_pilon","g6747",15,21,17,26
"chrIII_pilon","g6748",40,38,42,64
"chrIII_pilon","g6749",0,1,2,0
"chrIII_pilon","g6750",10,23,11,33
"chrIII_pilon","g6751",160,227,136,194
"chrIII_pilon","g6752",0,0,0,0
"chrIII_pilon","g6753",77,58,47,90
"chrIII_pilon","g6754",56,41,55,61
"chrIII_pilon","g6755",0,0,0,0
"chrIII_pilon","g6756",0,0,0,0
"chrIII_pilon","g6757",1,1,1,0
"chrIII_pilon","g6758",4,13,1,13
"chrIII_pilon","g6759",53,52,43,52
"chrIII_pilon","g6760",729,910,567,568
"chrIII_pilon","g6761",287,330,202,251
"chrIII_pilon","g6762",2,2,2,9
"chrIII_pilon","g6763",0,0,0,0
"chrIII_pilon","g6764",1,0,0,3
"chrIII_pilon","g6765",328,380,263,370
"chrIII_pilon","g6766",0,0,0,0
"chrIII_pilon","g6767",27,88,23,275
"chrIII_pilon","g6768",4,0,2,4
"chrIII_pilon","g6769",3,6,1,14
"chrIII_pilon","g6770",2,7,9,9
"chrIII_pilon","g6771",0,0,0,0
"chrIII_pilon","g6772",40,26,33,37
"chrIII_pilon","g6773",68,54,37,78
"chrIII_pilon","g6774",10,16,42,38
"chrIII_pilon","g6775",103,103,58,90
"chrIII_pilon","g6776",222,221,163,198
"chrIII_pilon","g6777",900,761,1326,695
"chrIII_pilon","g6778",1,1,1,0
"chrIII_pilon","g6779",2,1,1,0
"chrIII_pilon","g6780",4,5,4,3
"chrIII_pilon","g6781",8,8,5,6
"chrIII_pilon","g6782",1,3,4,8
"chrIII_pilon","g6783",1,7,1,6
"chrIII_pilon","g6784",70,80,56,73
